edgeID,startNode,endNode
AHALL00202_AHALL00302,AHALL00302,AHALL00202
AHALL00502_ADEPT00102,ADEPT00102,AHALL00502
AHALL01001_ASTAI00101,AHALL01001,ASTAI00101
AREST00103_AHALL00603,AREST00103,AHALL00603
AHALL00102_AHALL00202,AHALL00202,AHALL00102
AHALL00102_AHALL00602,AHALL00602,AHALL00102
AHALL00303_ALABS00203,ALABS00203,AHALL00303
AHALL00203_ALABS00103,ALABS00103,AHALL00203
AHALL01001_AHALL00201,AHALL01001,AHALL00201
AHALL002L2_AEXIT001L2,AHALL002L2,AEXIT001L2
AHALL00901_AHALL00101,AHALL00101,AHALL00901
AHALL00103_AELEV00S03,AELEV00S03,AHALL00103
AHALL004L2_ALABS001L2,AHALL004L2,ALABS001L2
AREST00101_AHALL00901,AREST00101,AHALL00901
AHALL00801_AHALL00401,AHALL00401,AHALL00801
AHALL00503_ACONF00103,ACONF00103,AHALL00503
ADEPT00201_AHALL00601,AHALL00601,ADEPT00201
AHALL00501_AHALL00701,AHALL00701,AHALL00501
AHALL002L2_AINFO001L2,AINFO001L2,AHALL002L2
AHALL00401_AHALL00501,AHALL00501,AHALL00401
ASTAI00101_ASTAI00102,ASTAI00102,ASTAI00101
AHALL00401_ADEPT00101,ADEPT00101,AHALL00401
AHALL00201_AHALL00301,AHALL00301,AHALL00201
AHALL00603_AHALL00503,AHALL00603,AHALL00503
AHALL00901_AHALL01001,AHALL00901,AHALL01001
AHALL00102_ACONF00102,ACONF00102,AHALL00102
AHALL00201_ASTAI00101,ASTAI00101,AHALL00201
AHALL00402_AHALL00502,AHALL00502,AHALL00402
ASTAI00101_AHALL00101,ASTAI00101,AHALL00101
AHALL00202_ASTAI00102,ASTAI00102,AHALL00202
AHALL00403_AHALL00503,AHALL00503,AHALL00403
AHALL01001_AHALL00101,AHALL01001,AHALL00101
AHALL00303_AHALL00403,AHALL00403,AHALL00303
AHALL00203_AHALL00303,AHALL00303,AHALL00203
AHALL003L2_AHALL004L2,AHALL003L2,AHALL004L2
AHALL00103_AHALL00203,AHALL00203,AHALL00103
AHALL002L2_AHALL003L2,AHALL002L2,AHALL003L2
AHALL001L2_AHALL002L2,AHALL002L2,AHALL001L2
AHALL00901_AHALL00201,AHALL00201,AHALL00901
AHALL00101_ARETL00101,ARETL00101,AHALL00101
AHALL00801_AELEV00S01,AELEV00S01,AHALL00801
AELEV00SL2_AHALL001L2,AHALL001L2,AELEV00SL2
ADEPT00301_AHALL00701,AHALL00701,ADEPT00301
AHALL00301_AHALL00801,AHALL00801,AHALL00301
AHALL00501_AHALL00601,AHALL00601,AHALL00501
AHALL00301_AHALL00401,AHALL00401,AHALL00301
AHALL00101_AHALL00201,AHALL00201,AHALL00101
AHALL00402_AELEV00S02,AELEV00S02,AHALL00402
AHALL00302_AHALL00402,AHALL00402,AHALL00302
AHALL00602_WHALL01002,AHALL00602,WHALL01002
